2026-06-23 22:39:24.324 | SERVIDOR | INICIADO | porta=5000
2026-06-23 22:39:35.669 | CONEXAO | ACEITA  | origem=127.0.0.1:59094
2026-06-23 22:39:35.671 | RECEBIDA | REQUEST | processo=2
2026-06-23 22:39:35.671 | ENVIADA  | GRANT   | processo=2
2026-06-23 22:39:35.679 | CONEXAO | ACEITA  | origem=127.0.0.1:59095
2026-06-23 22:39:35.680 | RECEBIDA | REQUEST | processo=1
2026-06-23 22:39:35.691 | CONEXAO | ACEITA  | origem=127.0.0.1:59096
2026-06-23 22:39:35.692 | RECEBIDA | REQUEST | processo=3
2026-06-23 22:39:37.673 | RECEBIDA | RELEASE | processo=2
2026-06-23 22:39:37.673 | RECEBIDA | REQUEST | processo=2
2026-06-23 22:39:37.673 | ENVIADA  | GRANT   | processo=1
2026-06-23 22:39:39.675 | RECEBIDA | RELEASE | processo=1
2026-06-23 22:39:39.675 | RECEBIDA | REQUEST | processo=1
2026-06-23 22:39:39.675 | ENVIADA  | GRANT   | processo=3
2026-06-23 22:39:41.677 | RECEBIDA | RELEASE | processo=3
2026-06-23 22:39:41.677 | RECEBIDA | REQUEST | processo=3
2026-06-23 22:39:41.677 | ENVIADA  | GRANT   | processo=2
2026-06-23 22:39:43.679 | RECEBIDA | RELEASE | processo=2
2026-06-23 22:39:43.679 | RECEBIDA | REQUEST | processo=2
2026-06-23 22:39:43.679 | ENVIADA  | GRANT   | processo=1
2026-06-23 22:39:45.680 | RECEBIDA | RELEASE | processo=1
2026-06-23 22:39:45.680 | RECEBIDA | REQUEST | processo=1
2026-06-23 22:39:45.680 | ENVIADA  | GRANT   | processo=3
2026-06-23 22:39:47.682 | RECEBIDA | RELEASE | processo=3
2026-06-23 22:39:47.682 | RECEBIDA | REQUEST | processo=3
2026-06-23 22:39:47.682 | ENVIADA  | GRANT   | processo=2
2026-06-23 22:39:49.683 | RECEBIDA | RELEASE | processo=2
2026-06-23 22:39:49.683 | RECEBIDA | REQUEST | processo=2
2026-06-23 22:39:49.683 | ENVIADA  | GRANT   | processo=1
2026-06-23 22:39:51.685 | RECEBIDA | RELEASE | processo=1
2026-06-23 22:39:51.685 | RECEBIDA | REQUEST | processo=1
2026-06-23 22:39:51.685 | ENVIADA  | GRANT   | processo=3
2026-06-23 22:39:53.687 | RECEBIDA | RELEASE | processo=3
2026-06-23 22:39:53.687 | RECEBIDA | REQUEST | processo=3
2026-06-23 22:39:53.687 | ENVIADA  | GRANT   | processo=2
2026-06-23 22:39:55.689 | RECEBIDA | RELEASE | processo=2
2026-06-23 22:39:55.689 | ENVIADA  | GRANT   | processo=1
2026-06-23 22:39:55.689 | RECEBIDA | REQUEST | processo=2
2026-06-23 22:39:57.690 | RECEBIDA | RELEASE | processo=1
2026-06-23 22:39:57.690 | RECEBIDA | REQUEST | processo=1
2026-06-23 22:39:57.690 | ENVIADA  | GRANT   | processo=3
2026-06-23 22:39:59.691 | RECEBIDA | RELEASE | processo=3
2026-06-23 22:39:59.691 | RECEBIDA | REQUEST | processo=3
2026-06-23 22:39:59.692 | ENVIADA  | GRANT   | processo=2
2026-06-23 22:40:01.692 | RECEBIDA | RELEASE | processo=2
2026-06-23 22:40:01.693 | ENVIADA  | GRANT   | processo=1
2026-06-23 22:40:03.694 | RECEBIDA | RELEASE | processo=1
2026-06-23 22:40:03.694 | ENVIADA  | GRANT   | processo=3
2026-06-23 22:40:05.705 | RECEBIDA | RELEASE | processo=3
