2026-06-25 12:15:07.163 | SERVIDOR | INICIADO | porta=5000
2026-06-25 12:15:28.016 | CONEXAO | ACEITA  | origem=127.0.0.1:54222
2026-06-25 12:15:28.016 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:15:28.016 | CONEXAO | ACEITA  | origem=127.0.0.1:54228
2026-06-25 12:15:28.016 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:15:28.017 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:15:28.026 | CONEXAO | ACEITA  | origem=127.0.0.1:54244
2026-06-25 12:15:28.026 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:15:28.026 | CONEXAO | ACEITA  | origem=127.0.0.1:54246
2026-06-25 12:15:28.026 | RECEBIDA | REQUEST | processo=6
2026-06-25 12:15:28.026 | CONEXAO | ACEITA  | origem=127.0.0.1:54262
2026-06-25 12:15:28.026 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:15:28.027 | CONEXAO | ACEITA  | origem=127.0.0.1:54278
2026-06-25 12:15:28.027 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:15:28.030 | CONEXAO | ACEITA  | origem=127.0.0.1:54294
2026-06-25 12:15:28.030 | RECEBIDA | REQUEST | processo=7
2026-06-25 12:15:28.030 | CONEXAO | ACEITA  | origem=127.0.0.1:54308
2026-06-25 12:15:28.030 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:15:28.031 | CONEXAO | ACEITA  | origem=127.0.0.1:54324
2026-06-25 12:15:28.031 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:15:28.031 | CONEXAO | ACEITA  | origem=127.0.0.1:54326
2026-06-25 12:15:28.031 | RECEBIDA | REQUEST | processo=10
2026-06-25 12:15:28.117 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:15:28.117 | ENVIADA  | GRANT   | processo=5
2026-06-25 12:15:28.157 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:15:28.217 | RECEBIDA | RELEASE | processo=5
2026-06-25 12:15:28.217 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:15:28.217 | ENVIADA  | GRANT   | processo=8
2026-06-25 12:15:28.318 | RECEBIDA | RELEASE | processo=8
2026-06-25 12:15:28.318 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:15:28.318 | ENVIADA  | GRANT   | processo=6
2026-06-25 12:15:28.418 | RECEBIDA | RELEASE | processo=6
2026-06-25 12:15:28.418 | RECEBIDA | REQUEST | processo=6
2026-06-25 12:15:28.418 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:15:28.519 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:15:28.519 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:15:28.519 | ENVIADA  | GRANT   | processo=9
2026-06-25 12:15:28.620 | RECEBIDA | RELEASE | processo=9
2026-06-25 12:15:28.620 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:15:28.620 | ENVIADA  | GRANT   | processo=7
2026-06-25 12:15:28.720 | RECEBIDA | RELEASE | processo=7
2026-06-25 12:15:28.721 | RECEBIDA | REQUEST | processo=7
2026-06-25 12:15:28.721 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:15:28.821 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:15:28.821 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:15:28.821 | ENVIADA  | GRANT   | processo=4
2026-06-25 12:15:28.922 | RECEBIDA | RELEASE | processo=4
2026-06-25 12:15:28.922 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:15:28.922 | ENVIADA  | GRANT   | processo=10
2026-06-25 12:15:29.023 | RECEBIDA | RELEASE | processo=10
2026-06-25 12:15:29.023 | RECEBIDA | REQUEST | processo=10
2026-06-25 12:15:29.023 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:15:29.123 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:15:29.123 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:15:29.123 | ENVIADA  | GRANT   | processo=5
2026-06-25 12:15:29.224 | RECEBIDA | RELEASE | processo=5
2026-06-25 12:15:29.224 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:15:29.224 | ENVIADA  | GRANT   | processo=8
2026-06-25 12:15:29.324 | RECEBIDA | RELEASE | processo=8
2026-06-25 12:15:29.325 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:15:29.325 | ENVIADA  | GRANT   | processo=6
2026-06-25 12:15:29.425 | RECEBIDA | RELEASE | processo=6
2026-06-25 12:15:29.425 | RECEBIDA | REQUEST | processo=6
2026-06-25 12:15:29.425 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:15:29.526 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:15:29.526 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:15:29.526 | ENVIADA  | GRANT   | processo=9
2026-06-25 12:15:29.627 | RECEBIDA | RELEASE | processo=9
2026-06-25 12:15:29.627 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:15:29.627 | ENVIADA  | GRANT   | processo=7
2026-06-25 12:15:29.727 | RECEBIDA | RELEASE | processo=7
2026-06-25 12:15:29.727 | RECEBIDA | REQUEST | processo=7
2026-06-25 12:15:29.727 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:15:29.828 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:15:29.828 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:15:29.828 | ENVIADA  | GRANT   | processo=4
2026-06-25 12:15:29.929 | RECEBIDA | RELEASE | processo=4
2026-06-25 12:15:29.929 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:15:29.929 | ENVIADA  | GRANT   | processo=10
2026-06-25 12:15:30.029 | RECEBIDA | RELEASE | processo=10
2026-06-25 12:15:30.029 | RECEBIDA | REQUEST | processo=10
2026-06-25 12:15:30.029 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:15:30.130 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:15:30.130 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:15:30.130 | ENVIADA  | GRANT   | processo=5
2026-06-25 12:15:30.230 | RECEBIDA | RELEASE | processo=5
2026-06-25 12:15:30.231 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:15:30.231 | ENVIADA  | GRANT   | processo=8
2026-06-25 12:15:30.331 | RECEBIDA | RELEASE | processo=8
2026-06-25 12:15:30.331 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:15:30.331 | ENVIADA  | GRANT   | processo=6
2026-06-25 12:15:30.432 | RECEBIDA | RELEASE | processo=6
2026-06-25 12:15:30.432 | RECEBIDA | REQUEST | processo=6
2026-06-25 12:15:30.432 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:15:30.533 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:15:30.533 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:15:30.533 | ENVIADA  | GRANT   | processo=9
2026-06-25 12:15:30.633 | RECEBIDA | RELEASE | processo=9
2026-06-25 12:15:30.633 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:15:30.633 | ENVIADA  | GRANT   | processo=7
2026-06-25 12:15:30.734 | RECEBIDA | RELEASE | processo=7
2026-06-25 12:15:30.734 | RECEBIDA | REQUEST | processo=7
2026-06-25 12:15:30.734 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:15:30.834 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:15:30.834 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:15:30.834 | ENVIADA  | GRANT   | processo=4
2026-06-25 12:15:30.935 | RECEBIDA | RELEASE | processo=4
2026-06-25 12:15:30.935 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:15:30.935 | ENVIADA  | GRANT   | processo=10
2026-06-25 12:15:31.035 | RECEBIDA | RELEASE | processo=10
2026-06-25 12:15:31.035 | RECEBIDA | REQUEST | processo=10
2026-06-25 12:15:31.035 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:15:31.136 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:15:31.136 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:15:31.136 | ENVIADA  | GRANT   | processo=5
2026-06-25 12:15:31.236 | RECEBIDA | RELEASE | processo=5
2026-06-25 12:15:31.236 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:15:31.236 | ENVIADA  | GRANT   | processo=8
2026-06-25 12:15:31.336 | RECEBIDA | RELEASE | processo=8
2026-06-25 12:15:31.337 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:15:31.337 | ENVIADA  | GRANT   | processo=6
2026-06-25 12:15:31.437 | RECEBIDA | RELEASE | processo=6
2026-06-25 12:15:31.437 | RECEBIDA | REQUEST | processo=6
2026-06-25 12:15:31.437 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:15:31.537 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:15:31.537 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:15:31.538 | ENVIADA  | GRANT   | processo=9
2026-06-25 12:15:31.638 | RECEBIDA | RELEASE | processo=9
2026-06-25 12:15:31.638 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:15:31.638 | ENVIADA  | GRANT   | processo=7
2026-06-25 12:15:31.739 | RECEBIDA | RELEASE | processo=7
2026-06-25 12:15:31.739 | RECEBIDA | REQUEST | processo=7
2026-06-25 12:15:31.739 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:15:31.839 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:15:31.839 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:15:31.839 | ENVIADA  | GRANT   | processo=4
2026-06-25 12:15:31.939 | RECEBIDA | RELEASE | processo=4
2026-06-25 12:15:31.939 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:15:31.939 | ENVIADA  | GRANT   | processo=10
2026-06-25 12:15:32.040 | RECEBIDA | RELEASE | processo=10
2026-06-25 12:15:32.040 | RECEBIDA | REQUEST | processo=10
2026-06-25 12:15:32.040 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:15:32.140 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:15:32.140 | ENVIADA  | GRANT   | processo=5
2026-06-25 12:15:32.241 | RECEBIDA | RELEASE | processo=5
2026-06-25 12:15:32.241 | ENVIADA  | GRANT   | processo=8
2026-06-25 12:15:32.341 | RECEBIDA | RELEASE | processo=8
2026-06-25 12:15:32.341 | ENVIADA  | GRANT   | processo=6
2026-06-25 12:15:32.441 | RECEBIDA | RELEASE | processo=6
2026-06-25 12:15:32.441 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:15:32.542 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:15:32.542 | ENVIADA  | GRANT   | processo=9
2026-06-25 12:15:32.642 | RECEBIDA | RELEASE | processo=9
2026-06-25 12:15:32.642 | ENVIADA  | GRANT   | processo=7
2026-06-25 12:15:32.743 | RECEBIDA | RELEASE | processo=7
2026-06-25 12:15:32.743 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:15:32.843 | RECEBIDA | RELEASE | processo=2
