2026-06-25 12:13:22.779 | SERVIDOR | INICIADO | porta=5000
2026-06-25 12:13:40.023 | CONEXAO | ACEITA  | origem=127.0.0.1:42432
2026-06-25 12:13:40.023 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:13:40.023 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:13:40.024 | CONEXAO | ACEITA  | origem=127.0.0.1:42440
2026-06-25 12:13:40.024 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:13:40.024 | CONEXAO | ACEITA  | origem=127.0.0.1:42452
2026-06-25 12:13:40.024 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:13:42.023 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:13:42.024 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:13:42.065 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:13:44.024 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:13:44.024 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:13:44.024 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:13:46.024 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:13:46.024 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:13:46.024 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:13:48.025 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:13:48.025 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:13:48.025 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:13:50.025 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:13:50.025 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:13:50.026 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:13:52.026 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:13:52.026 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:13:52.026 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:13:54.027 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:13:54.027 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:13:56.027 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:13:56.028 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:13:58.028 | RECEBIDA | RELEASE | processo=2
