2026-06-25 12:10:18.196 | SERVIDOR | INICIADO | porta=5000
2026-06-25 12:10:59.773 | CONEXAO | ACEITA  | origem=127.0.0.1:59486
2026-06-25 12:10:59.774 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:10:59.774 | CONEXAO | ACEITA  | origem=127.0.0.1:59484
2026-06-25 12:10:59.774 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:10:59.774 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:10:59.774 | CONEXAO | ACEITA  | origem=127.0.0.1:59514
2026-06-25 12:10:59.774 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:11:01.774 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:11:01.774 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:11:01.815 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:11:03.775 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:11:03.775 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:11:03.775 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:11:05.775 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:11:05.775 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:11:05.775 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:11:07.776 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:11:07.776 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:11:07.776 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:11:09.776 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:11:09.776 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:11:09.776 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:11:11.776 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:11:11.776 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:11:11.776 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:11:13.777 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:11:13.777 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:11:13.777 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:11:15.777 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:11:15.777 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:11:15.777 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:11:17.778 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:11:17.778 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:11:17.778 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:11:19.778 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:11:19.778 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:11:19.778 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:11:21.779 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:11:21.779 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:11:21.779 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:11:23.779 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:11:23.779 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:11:23.779 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:11:25.779 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:11:25.780 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:11:27.780 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:11:27.780 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:11:29.781 | RECEBIDA | RELEASE | processo=1
